New Chord Number	Difficulty Rating	No of notes	No of harmonics	Harmonic ratio	OCTAVE (1= lowest, 5=highest)					
306	3	2	0	0	3	3	0	0	0	"<e'\3 e'\4  >"
307	2	2	0	0	3	3	0	0	0	"<e'\1 e'\4  >"
308	3	2	0	0	3	3	0	0	0	"<e'\2 e'\3  >"
309	1	1	0	0	3	0	0	0	0	"<e'\4   >"
310	1	1	0	0	3	0	0	0	0	"<e'\3   >"
311	1	1	0	0	3	0	0	0	0	"<e'\2   >"
312	1	1	0	0	3	0	0	0	0	"<e'\1   >"
313	2	1	0	0	3	0	0	0	0	"<e'\5   >"
314	2	2	0	0	3	3	0	0	0	"<e'\1 e'\3  >"
315	1	2	0	0	3	3	0	0	0	"<e'\1 e'\2  >"
316	5	3	0	0	3	3	3	0	0	"<< { \voiceOne <e'\5 e'\4>X} \new Voice {\voiceTwo \thirdnote <e'\1>X} >>"
317	4	3	0	0	3	3	3	0	0	"<< { \voiceOne <e'\3 e'\2>X} \new Voice {\voiceTwo \thirdnote <e'\1>X} >>"
318	6	4	1	0.25	3	3	3	3	0	"<< { \voiceOne <a,\harmonic\6 e'\3 e'\2>X} \new Voice {\voiceTwo \thirdnote <e'\1>X} >>"
319	5	4	1	0.25	3	3	3	3	0	"<e\harmonic\5 e'\3 e'\2 e'\1>"
